iter	Passed	Remaining
1350	18696	8981
1351	18709	8967
1352	18722	8953
1353	18736	8939
1354	18750	8925
1355	18764	8911
1356	18778	8897
1357	18793	8884
1358	18807	8870
1359	18820	8856
1360	18835	8843
1361	18849	8829
1362	18864	8816
1363	18880	8803
1364	18893	8789
1365	18908	8776
1366	18923	8762
1367	18936	8748
1368	18950	8734
1369	18964	8720
1370	18978	8707
1371	18991	8693
1372	19006	8679
1373	19021	8666
1374	19036	8653
1375	19051	8639
1376	19064	8625
1377	19077	8610
1378	19089	8596
1379	19102	8582
1380	19114	8567
1381	19126	8553
1382	19139	8538
1383	19152	8524
1384	19166	8510
1385	19181	8497
1386	19194	8483
1387	19207	8469
1388	19220	8454
1389	19233	8440
1390	19247	8427
1391	19261	8413
1392	19274	8398
1393	19286	8384
1394	19299	8370
1395	19314	8356
1396	19328	8343
1397	19342	8329
1398	19354	8314
1399	19366	8300
1400	19380	8286
1401	19392	8271
1402	19406	8257
1403	19419	8243
1404	19431	8229
1405	19446	8215
1406	19458	8201
1407	19469	8186
1408	19479	8170
1409	19491	8156
1410	19504	8142
1411	19517	8127
1412	19530	8113
1413	19542	8098
1414	19553	8083
1415	19566	8069
1416	19580	8055
1417	19592	8041
1418	19606	8027
1419	19619	8013
1420	19631	7998
1421	19643	7984
1422	19657	7970
1423	19670	7956
1424	19683	7942
1425	19698	7929
1426	19712	7915
1427	19724	7900
1428	19737	7886
1429	19750	7872
1430	19762	7858
1431	19774	7843
1432	19789	7830
1433	19801	7815
1434	19813	7801
1435	19829	7788
1436	19842	7774
1437	19855	7759
1438	19869	7746
1439	19882	7731
1440	19894	7717
1441	19906	7703
1442	19920	7689
1443	19933	7675
1444	19947	7661
1445	19961	7647
1446	19975	7634
1447	19989	7620
1448	20003	7606
1449	20016	7592
1450	20029	7578
1451	20042	7564
1452	20055	7550
1453	20066	7535
1454	20079	7521
1455	20092	7507
1456	20106	7493
1457	20119	7479
1458	20132	7465
1459	20146	7451
1460	20159	7437
1461	20173	7423
1462	20186	7409
1463	20200	7395
1464	20213	7381
1465	20227	7367
1466	20240	7354
1467	20254	7340
1468	20267	7326
1469	20281	7312
1470	20295	7298
1471	20309	7284
1472	20322	7270
1473	20336	7257
1474	20350	7243
1475	20365	7229
1476	20380	7216
1477	20393	7202
1478	20406	7188
1479	20421	7175
1480	20435	7161
1481	20448	7147
1482	20463	7133
1483	20477	7120
1484	20490	7106
1485	20505	7092
1486	20518	7078
1487	20530	7064
1488	20544	7050
1489	20556	7035
1490	20568	7021
1491	20581	7007
1492	20595	6993
1493	20608	6979
1494	20622	6965
1495	20634	6951
1496	20647	6937
1497	20660	6923
1498	20674	6909
1499	20701	6900
1500	20733	6892
1501	20770	6886
1502	20803	6879
1503	20820	6866
1504	20839	6854
1505	20851	6839
1506	20864	6825
1507	20877	6811
1508	20891	6797
1509	20901	6782
1510	20913	6768
1511	20922	6752
1512	20934	6738
1513	20946	6723
1514	20959	6709
1515	20973	6696
1516	20986	6681
1517	20998	6667
1518	21011	6653
1519	21025	6639
1520	21039	6625
1521	21052	6611
1522	21065	6597
1523	21078	6583
1524	21091	6569
1525	21103	6555
1526	21117	6541
1527	21131	6527
1528	21145	6513
1529	21158	6499
1530	21171	6485
1531	21184	6471
1532	21197	6457
1533	21210	6443
1534	21224	6429
1535	21237	6415
1536	21250	6401
1537	21264	6387
1538	21278	6373
1539	21290	6359
1540	21303	6345
1541	21316	6331
1542	21330	6317
1543	21343	6303
1544	21358	6290
1545	21374	6276
1546	21387	6262
1547	21400	6248
1548	21414	6234
1549	21428	6221
1550	21441	6207
1551	21455	6193
1552	21468	6179
1553	21482	6165
1554	21495	6151
1555	21511	6138
1556	21524	6124
1557	21536	6109
1558	21548	6095
1559	21561	6081
1560	21575	6067
1561	21588	6053
1562	21601	6039
1563	21614	6025
1564	21626	6011
1565	21640	5997
1566	21653	5983
1567	21667	5969
1568	21681	5955
1569	21697	5942
1570	21711	5928
1571	21724	5914
1572	21738	5901
1573	21751	5887
1574	21764	5872
1575	21778	5859
1576	21792	5845
1577	21804	5831
1578	21816	5816
1579	21835	5804
1580	21852	5791
1581	21867	5777
1582	21880	5763
1583	21894	5750
1584	21906	5735
1585	21920	5721
1586	21934	5708
1587	21948	5694
1588	21962	5680
1589	21976	5666
1590	21990	5653
1591	22003	5639
1592	22018	5625
1593	22031	5611
1594	22045	5597
1595	22058	5583
1596	22071	5569
1597	22085	5556
1598	22098	5541
1599	22112	5528
1600	22125	5514
1601	22139	5500
1602	22153	5486
1603	22167	5472
1604	22183	5459
1605	22197	5445
1606	22210	5431
1607	22223	5417
