timestamp,emg1,emg2,emg3,label
2845093,5137,39097,38425,11
2845098,13139,43514,50108,11
2845103,4945,39081,40681,11
2845108,6529,35400,39529,11
2845113,7873,38873,43018,11
2845118,6001,44314,42906,11
2845123,4225,38649,41690,11
2845128,10994,37241,39561,11
2845133,5585,41098,36889,11
2845138,10786,44106,42858,11
2845143,4193,39433,41706,11
2845148,3136,38841,34664,11
2845153,5889,40313,42106,11
2845158,2064,43226,41242,11
2845163,2944,41802,36280,11
2845168,4080,35992,39849,11
2845175,3696,40825,37193,11
2845180,2128,45018,37561,11
2845185,7601,39257,38873,11
2845190,4032,36296,45467,11
2845195,4048,41994,41546,11
2845200,11586,42506,41194,11
2845205,8354,40009,41034,11
2845210,2784,39849,36536,11
2845215,3440,41578,42282,11
2845220,3584,43546,38393,11
2845225,15699,41210,43914,11
2845230,3728,38425,39353,11
2845235,4257,43082,40281,11
2845240,9714,44138,43946,11
2845245,7921,37273,43754,11
2845250,4337,36664,37289,11
2845255,4497,39369,47611,11
2845260,7569,40873,45115,11
2845265,8258,37929,46795,11
2845270,5057,37993,39113,11
2845275,6065,43770,41754,11
2845280,13427,43114,38793,11
2845285,11890,39465,41946,11
2845290,11362,40873,38521,11
2845295,4801,40970,40121,11
2845300,5281,40809,43594,11
2845305,6673,40345,46251,11
2845310,4833,38873,39961,11
2845315,12723,42874,42922,11
2845320,9970,44618,43722,11
2845325,14291,38265,45115,11
2845330,6545,41402,31863,11
2845335,3488,44458,32727,11
2845340,4417,43274,40601,11
2845345,6417,39689,42746,11
2845350,14067,39353,41338,11
2845355,3856,42122,39497,11
2845362,5601,41194,41194,11
2845367,4849,35976,42042,11
2845372,4897,41674,36664,11
2845377,6705,44474,38345,11
2845382,8626,40970,38617,11
2845387,2416,36392,41818,11
2845392,3872,38873,40569,11
2845397,15779,45867,43754,11
2845402,10642,42058,39865,11
2845407,5777,36985,36856,11
2845412,5889,39977,44714,11
2845417,7073,47003,37161,11
2845422,19860,44346,38585,11
2845427,3856,37049,40121,11
2845432,4273,40681,42122,11
2845437,8962,44490,36008,11
2845442,4609,41962,41642,11
2845447,6385,34808,41194,11
2845452,14131,39673,41546,11
2845457,12819,44202,43594,11
2845462,7313,38873,43802,11
2845467,9090,38553,39385,11
2845472,3792,39097,40153,11
2845477,13027,46075,43946,11
2845482,5729,42906,45419,11
2845487,7841,34760,43434,11
2845492,8290,40793,38633,11
2845497,13043,45499,45899,11
2845502,14467,44378,36232,11
2845507,2992,38713,35848,11
2845512,7697,37849,40681,11
2845517,13443,44506,43034,11
2845522,6897,42794,39817,11
2845527,5553,35848,37977,11
2845532,3984,38505,46603,11
2845537,8242,43642,44250,11
2845544,3696,40185,43898,11
2845549,12643,39545,33976,11
2845554,3136,40970,41514,11
2845559,4032,42714,43754,11
2845564,3824,41546,40105,11
2845569,10210,39145,35848,11
2845574,3408,44058,31735,11
2845579,5329,45435,45002,11
2845584,2784,40281,42522,11
2845589,7329,38553,38985,11
2845594,5585,43498,44058,11
2845599,2848,46123,44250,11
2845604,5137,41306,39513,11
2845609,8994,39097,36440,11
2845614,3680,41770,43706,11
